app_name,price,avg_rating,rating_count,size_mb,primary_genre,content_rating,language_count,has_iap,has_support_url,min_ios,is_game_center,age_days,update_recency_days
CalmMind : Relax & Breathe,0.0,4.5873,63,13.7472,Health & Fitness,4+,1,0,0,18.0,0,641,38
Dhamma.org,0.0,4.78409,176,135.149568,Health & Fitness,4+,18,0,0,12.0,0,3162,129
Guided Mind,0.0,4.625,368,19.166208,Health & Fitness,4+,2,0,0,8.0,0,4475,2892
"Journey - Diary, Journal",0.0,4.64607,4984,224.915456,Lifestyle,4+,15,0,0,18.6,0,2913,2
MindReset - Just 2 min a day!,0.0,4.08333,24,83.233792,Health & Fitness,4+,3,0,0,13.0,0,2023,11
mindfulness bell - Quiet,0.0,4.66667,51,48.1536,Health & Fitness,4+,1,0,0,17.0,0,548,0
AteMate Food Journal (Ate),0.0,4.79141,10106,190.608384,Health & Fitness,12+,1,0,0,13.0,0,3198,42
Mindful Nation,0.0,4.55556,18,113.891328,Health & Fitness,9+,1,0,0,15.0,0,1369,80
Respire: Mindful breathing,0.0,5,73,66.599936,Health & Fitness,4+,2,0,0,15.0,0,2297,167
Loving Kindness,0.0,4.81846,5294,188.862464,Health & Fitness,4+,1,0,0,16.0,0,795,1
Portal - Escape Into Nature,0.0,4.77775,9710,316.577792,Health & Fitness,4+,1,0,0,13.0,0,2473,414
UniverseMind App,0.0,5,15,47.273984,Health & Fitness,4+,1,0,0,12.0,0,924,53
Shmoody: Mood & Habit Tracker,0.0,4.84408,16163,115.540992,Health & Fitness,12+,1,0,0,15.1,0,1826,10
Mindfulness Based Living,0.0,5,4,114.38592,Lifestyle,17+,1,0,0,9.0,0,2990,2214
Better Sleep with KindMind,0.0,4.63462,260,194.33472,Health & Fitness,4+,7,0,0,13.0,0,1639,940
Mind Hero - Guided Relaxation,0.0,5,1,52.340736,Health & Fitness,4+,1,0,0,9.3,0,3095,1125
ADHD Self-Care Coach: Evolve,0.0,4.71347,1068,130.613248,Health & Fitness,4+,1,0,0,17.2,0,1956,2
Breathe With Me: breathwork,0.0,4.90475,21,54.718464,Health & Fitness,4+,2,0,0,13.0,0,1052,440
Welli,0.0,4.59999,5,76.49792,Health & Fitness,12+,1,0,0,15.5,0,3709,441
Mindful Mandala Art Studio,0.0,4.14286,7,100.001792,Graphics & Design,17+,37,0,0,16.6,0,1371,16
Rosebud: AI Journal & Diary,0.0,4.90296,1855,65.815552,Health & Fitness,4+,18,0,0,15.1,0,471,0
On My Mind - Next Jump,0.0,4.55556,9,35.894272,Business,4+,1,0,0,15.1,0,2533,57
Mind Body Tool,0.0,4.64706,17,88.628224,Health & Fitness,12+,1,0,0,17,0,3775,562
Soma: Wellness & Meditation,0.0,4.44444,18,102.35392,Health & Fitness,4+,10,0,0,14.0.0,0,616,0
Mushin Mind,0.0,5,2,93.799424,Health & Fitness,4+,1,0,0,15.1,0,1192,41
Mindbody: Fitness & Wellness,0.0,4.89536,250344,350.688256,Health & Fitness,4+,2,0,0,15.0,0,4465,9
Mindfulness: 2012 (Original),0.0,4.75,8,438.889472,Health & Fitness,4+,1,0,0,9.0,0,4785,1834
SonderMind - Mental Health,0.0,4.71976,7972,184.894464,Health & Fitness,12+,1,0,0,16.0,0,2282,5
Mind Mapping - MindMeister,0.0,4.43553,1210,38.238208,Productivity,4+,12,0,0,16.0,0,5600,145
Levelhead: Mindfulness App,0.0,4.71429,7,38.858752,Education,4+,1,0,0,11.0,0,2945,823
